Month,Total_kW
jan,1242.388488
feb,1128.854496
mar,1250.421456
apr,1199.8792799999999
may,1239.412488
jun,1208.2464
jul,1246.8971279999998
aug,1245.9105839999997
sep,1216.8395999999998
oct,1252.3759439999997
nov,1217.29248
dec,1256.395032
