Node,Total_Year_kWh
Node1,1207.5895
Node2,1118.771
Node3,1137.1986000000002
Node4,1130.4944
Node5,1128.3235999999997
Node6,1254.5603
Node7,1139.0317999999997
Node8,1130.8683
Node9,1213.154
Node10,1131.3580000000002
Node11,1134.728
Node12,1128.8002000000001
Node13,985.6822
