time,success_cloudlets,pending_cloudlets,power_kW,c_power
1,0,29,0.2280,0.2280
2,0,29,0.2280,0.4560
3,0,29,0.2280,0.6840
4,1,27,0.2280,0.9120

summary
Total Energy Consumption (kWh),0.0003
Average Energy per Transaction (Wh/Tx),0.2533
