Month,Avg_kW,Total_kWh
jan,0.06916230769230769,668.9378399999999
feb,0.07056253846153845,616.4343359999999
mar,0.06944830769230768,671.704032
apr,0.06947876923076923,650.3212800000001
may,0.06952292307692308,672.425712
jun,0.06943346153846153,649.8972
jul,0.06924853846153846,669.771864
aug,0.06913915384615385,668.713896
sep,0.06947453846153845,650.28168
oct,0.06969123076923077,674.053584
nov,0.07018776923076923,656.9575199999999
dec,0.06901430769230771,667.506384
