Node,Total_kWh,Average_kWh,Total_kW
Node1,0.8820350000000001,0.07350291666666668,0.0012093401017665131
Node2,0.826356,0.068863,0.0011328729134664618
Node3,0.834263,0.06952191666666667,0.0011435082117255502
Node4,0.8812500000000001,0.0734375,0.0012082633096518176
Node5,0.8800539999999999,0.07333783333333332,0.0012065112455197132
Node6,0.966412,0.08053433333333333,0.0013253833269329237
Node7,0.8817360000000001,0.073478,0.0012088721422171022
Node8,0.881588,0.07346566666666667,0.0012086683211725551
Node9,0.9206190000000001,0.07671825,0.0012624336949564772
Node10,0.8565429999999998,0.07137858333333331,0.0011745651977726574
Node11,0.8551710000000002,0.07126425000000002,0.0011727694028417822
Node12,0.880222,0.07335183333333332,0.0012069303539426525
Node13,0.7641330000000001,0.06367775,0.0010479129032258064
Node14,0.882224,0.07351866666666666,0.0012094927163338455
Node15,0.8840050000000002,0.07366708333333334,0.001211894863671275
Node16,0.8837729999999998,0.07364774999999998,0.0012116469406041987
Node17,0.884977,0.07374808333333334,0.0012133280273937533
Node18,0.882238,0.07351983333333333,0.0012094640488991297
Node19,0.8828470000000002,0.07357058333333334,0.0012103672363031235
Node20,0.8817119999999998,0.07347599999999999,0.001208772961469534
Node21,0.886018,0.07383483333333334,0.0012146344630056323
Node22,0.882471,0.07353925,0.0012098241295442908
Node23,0.883534,0.07362783333333334,0.001211283781362007
