Node,nov
Node1,98.5781
Node2,89.4382
Node3,92.7399
Node4,97.8574
Node5,98.5522
Node6,108.8627
Node7,99.3044
Node8,95.962
Node9,103.4695
Node10,95.5655
Node11,95.3376
Node12,97.976
Node13,89.4649
Node14,99.9566
Node15,98.9672
Node16,99.5156
Node17,99.0321
Node18,99.197
Node19,99.7621
Node20,99.1043
Node21,99.0858
Node22,98.6596
Node23,99.0209
