Node,Total_kWh,Average_kWh,Total_kW
Node1,0.88228,0.07352333333333333,0.0012095174411162314
Node2,0.817669,0.06813908333333334,0.0011212005504352277
Node3,0.8310910000000001,0.06925758333333334,0.0011395362199180747
Node4,0.826414,0.06886783333333334,0.0011333866519457243
Node5,0.82459,0.06871583333333334,0.0011306204653097798
Node6,0.917373,0.07644775,0.0012582709421402971
Node7,0.8329350000000001,0.06941125000000001,0.0011424628232206862
Node8,0.826614,0.0688845,0.0011336756944444444
Node9,0.886693,0.07389108333333333,0.0012158893913210445
Node10,0.8266180000000001,0.06888483333333334,0.001133323422299027
Node11,0.8292730000000001,0.06910608333333335,0.001137054345878136
Node12,0.824827,0.06873558333333334,0.001130858541346646
Node13,0.720353,0.06002941666666667,0.0009874954045058883
