Month,Monthly_Avg_kW
jan,9.296009098428454e-05
feb,0.00010500377747252745
mar,9.334449958643507e-05
apr,9.649829059829061e-05
may,9.344478908188587e-05
jun,9.643536324786326e-05
jul,9.307599255583128e-05
aug,9.292897022332506e-05
sep,9.649241452991453e-05
oct,9.367100909842845e-05
nov,9.748301282051284e-05
dec,9.276116625310173e-05
