Node,oct
Node1,99.794
Node2,92.0236
Node3,94.3148
Node4,93.5617
Node5,94.5359
Node6,105.4414
Node7,96.543
Node8,92.6901
Node9,101.0682
Node10,94.6384
Node11,96.3144
Node12,92.9465
Node13,84.816
