Node,Total_Year_kWh
Node1,1203.9756999999997
Node2,1127.9551000000001
Node3,1139.0947999999999
Node4,1202.718
Node5,1201.4144000000001
Node6,1318.7064
Node7,1203.67
Node8,1203.4739
Node9,1256.4179
Node10,1168.9348999999997
Node11,1166.9432
Node12,1201.3423
Node13,1042.5616
Node14,1204.4167000000002
Node15,1206.8965
Node16,1206.5505
Node17,1208.1477999999997
Node18,1204.4725
Node19,1205.2229000000002
Node20,1203.7046000000003
Node21,1209.7068
Node22,1204.7446
Node23,1206.1970000000001
