Month,Total_kWh
jan,2396.8913
feb,2088.3232000000003
mar,2375.4689000000003
apr,2186.0149999999994
may,2291.6713
jun,2283.2998000000002
jul,2214.5166
aug,2384.5169
sep,2286.3385999999996
oct,2372.9237
nov,2255.4095999999995
dec,2361.8932000000004
Yearly_Total,27497.2681
