Node,sep
Node1,99.7023
Node2,95.2136
Node3,94.4527
Node4,99.894
Node5,99.9485
Node6,109.6493
Node7,99.6685
Node8,100.1589
Node9,104.0971
Node10,98.3702
Node11,96.3936
Node12,98.652
Node13,89.0955
Node14,99.7155
Node15,99.894
Node16,100.4896
Node17,100.3769
Node18,99.8902
Node19,100.2491
Node20,99.9071
Node21,100.5441
Node22,99.6065
Node23,100.3694
