Month,Monthly_Avg_kW
jan,9.758514492753622e-05
feb,0.00010868549430641822
mar,9.821610565684899e-05
apr,0.00010063399758454107
may,9.735139083683964e-05
jun,0.00010133574879227053
jul,9.793928237494157e-05
aug,9.786179289387563e-05
sep,0.000102056461352657
oct,9.836962365591396e-05
nov,0.00010209444444444445
dec,9.868530855539973e-05
