Tick,TotalEnergy(kWh),AverageEnergy(kWh)
0,2.6220000000000003,1.8214832214765102
1,3.286,1.8214832214765102
2,3.286,1.8214832214765102
3,3.286,1.8214832214765102
4,3.286,1.8214832214765102
5,3.286,1.8214832214765102
6,3.286,1.8214832214765102
7,3.286,1.8214832214765102
8,3.286,1.8214832214765102
9,3.286,1.8214832214765102
10,3.286,1.8214832214765102
11,3.286,1.8214832214765102
12,3.286,1.8214832214765102
13,3.286,1.8214832214765102
14,3.286,1.8214832214765102
15,3.286,1.8214832214765102
16,3.286,1.8214832214765102
17,3.286,1.8214832214765102
18,3.286,1.8214832214765102
19,3.286,1.8214832214765102
20,3.286,1.8214832214765102
21,3.286,1.8214832214765102
22,3.286,1.8214832214765102
23,3.286,1.8214832214765102
24,3.286,1.8214832214765102
25,3.286,1.8214832214765102
26,3.286,1.8214832214765102
27,3.286,1.8214832214765102
28,3.286,1.8214832214765102
29,3.286,1.8214832214765102
30,3.286,1.8214832214765102
31,3.286,1.8214832214765102
32,3.286,1.8214832214765102
33,3.286,1.8214832214765102
34,3.286,1.8214832214765102
35,3.286,1.8214832214765102
36,3.286,1.8214832214765102
37,3.286,1.8214832214765102
38,3.286,1.8214832214765102
39,3.286,1.8214832214765102
40,3.286,1.8214832214765102
41,3.286,1.8214832214765102
42,3.286,1.8214832214765102
43,3.286,1.8214832214765102
44,3.286,1.8214832214765102
45,3.286,1.8214832214765102
46,3.286,1.8214832214765102
47,3.286,1.8214832214765102
48,3.286,1.8214832214765102
49,3.286,1.8214832214765102
50,3.286,1.8214832214765102
51,3.286,1.8214832214765102
52,3.286,1.8214832214765102
53,3.286,1.8214832214765102
54,3.286,1.8214832214765102
55,3.286,1.8214832214765102
56,3.286,1.8214832214765102
57,3.286,1.8214832214765102
58,3.286,1.8214832214765102
59,3.286,1.8214832214765102
60,3.286,1.8214832214765102
61,3.286,1.8214832214765102
62,3.286,1.8214832214765102
63,3.286,1.8214832214765102
64,3.286,1.8214832214765102
65,3.286,1.8214832214765102
66,3.286,1.8214832214765102
67,3.286,1.8214832214765102
68,3.286,1.8214832214765102
69,3.286,1.8214832214765102
70,3.286,1.8214832214765102
71,3.286,1.8214832214765102
72,3.286,1.8214832214765102
73,3.286,1.8214832214765102
74,3.286,1.8214832214765102
