Tick,TotalEnergy(kWh),AverageEnergy(kWh)
0,1.4820000000000004,0.9908668317774815
1,1.733,0.9908668317774815
2,1.733,0.9908668317774815
3,1.733,0.9908668317774815
4,1.733,0.9908668317774815
5,1.733,0.9908668317774815
6,1.733,0.9908668317774815
7,1.733,0.9908668317774815
8,1.733,0.9908668317774815
9,1.733,0.9908668317774815
10,1.733,0.9908668317774815
11,1.733,0.9908668317774815
12,1.733,0.9908668317774815
13,1.733,0.9908668317774815
14,1.733,0.9908668317774815
15,1.733,0.9908668317774815
16,1.733,0.9908668317774815
17,1.733,0.9908668317774815
18,1.733,0.9908668317774815
19,1.733,0.9908668317774815
20,1.733,0.9908668317774815
21,1.733,0.9908668317774815
22,1.733,0.9908668317774815
23,1.733,0.9908668317774815
24,1.733,0.9908668317774815
25,1.733,0.9908668317774815
26,1.733,0.9908668317774815
27,1.733,0.9908668317774815
28,1.733,0.9908668317774815
29,1.733,0.9908668317774815
30,1.733,0.9908668317774815
31,1.733,0.9908668317774815
32,1.733,0.9908668317774815
33,1.733,0.9908668317774815
34,1.733,0.9908668317774815
35,1.733,0.9908668317774815
36,1.733,0.9908668317774815
37,1.733,0.9908668317774815
38,1.733,0.9908668317774815
39,1.733,0.9908668317774815
40,1.733,0.9908668317774815
41,1.733,0.9908668317774815
42,1.733,0.9908668317774815
43,1.733,0.9908668317774815
44,1.733,0.9908668317774815
45,1.733,0.9908668317774815
46,1.733,0.9908668317774815
47,1.733,0.9908668317774815
48,1.733,0.9908668317774815
49,1.733,0.9908668317774815
50,1.733,0.9908668317774815
51,1.733,0.9908668317774815
52,1.733,0.9908668317774815
53,1.733,0.9908668317774815
54,1.733,0.9908668317774815
55,1.733,0.9908668317774815
56,1.733,0.9908668317774815
57,1.733,0.9908668317774815
58,1.733,0.9908668317774815
59,1.733,0.9908668317774815
60,1.733,0.9908668317774815
61,1.733,0.9908668317774815
62,1.733,0.9908668317774815
63,1.733,0.9908668317774815
64,1.733,0.9908668317774815
65,1.733,0.9908668317774815
66,1.733,0.9908668317774815
67,1.733,0.9908668317774815
68,1.733,0.9908668317774815
69,1.733,0.9908668317774815
70,1.733,0.9908668317774815
71,1.733,0.9908668317774815
72,1.733,0.9908668317774815
73,1.733,0.9908668317774815
74,1.733,0.9908668317774815
75,1.733,0.9908668317774815
76,1.733,0.9908668317774815
