Tick,TotalEnergy(kWh),AverageEnergy(kWh)
0,2.6220000000000003,2.120764587525151
1,3.262,2.120764587525151
2,3.283,2.120764587525151
3,3.283,2.120764587525151
4,3.283,2.120764587525151
5,3.283,2.120764587525151
6,3.283,2.120764587525151
7,3.283,2.120764587525151
8,3.283,2.120764587525151
9,3.283,2.120764587525151
10,3.283,2.120764587525151
11,3.283,2.120764587525151
12,3.283,2.120764587525151
13,3.283,2.120764587525151
14,3.283,2.120764587525151
15,3.283,2.120764587525151
16,3.283,2.120764587525151
17,3.283,2.120764587525151
18,3.283,2.120764587525151
19,3.283,2.120764587525151
20,3.283,2.120764587525151
21,3.283,2.120764587525151
22,3.283,2.120764587525151
23,3.283,2.120764587525151
24,3.283,2.120764587525151
25,3.283,2.120764587525151
26,3.283,2.120764587525151
27,3.283,2.120764587525151
28,3.283,2.120764587525151
29,3.283,2.120764587525151
30,3.283,2.120764587525151
31,3.283,2.120764587525151
32,3.283,2.120764587525151
33,3.283,2.120764587525151
34,3.283,2.120764587525151
35,3.283,2.120764587525151
36,3.283,2.120764587525151
37,3.283,2.120764587525151
38,3.283,2.120764587525151
39,3.283,2.120764587525151
40,3.283,2.120764587525151
41,3.283,2.120764587525151
42,3.283,2.120764587525151
43,3.283,2.120764587525151
44,3.283,2.120764587525151
45,3.283,2.120764587525151
46,3.283,2.120764587525151
47,3.283,2.120764587525151
48,3.283,2.120764587525151
49,3.283,2.120764587525151
50,3.283,2.120764587525151
51,3.283,2.120764587525151
52,3.283,2.120764587525151
53,3.283,2.120764587525151
54,3.283,2.120764587525151
55,3.283,2.120764587525151
56,3.283,2.120764587525151
57,3.283,2.120764587525151
58,3.283,2.120764587525151
59,3.283,2.120764587525151
60,3.283,2.120764587525151
61,3.283,2.120764587525151
62,3.283,2.120764587525151
63,3.283,2.120764587525151
64,3.283,2.120764587525151
65,3.283,2.120764587525151
66,3.283,2.120764587525151
67,3.283,2.120764587525151
68,3.283,2.120764587525151
69,3.283,2.120764587525151
70,3.283,2.120764587525151
71,3.283,2.120764587525151
72,3.283,2.120764587525151
73,3.283,2.120764587525151
74,3.283,2.120764587525151
75,3.283,2.120764587525151
76,3.283,2.120764587525151
77,3.283,2.120764587525151
78,3.283,2.120764587525151
79,3.283,2.120764587525151
80,3.283,2.120764587525151
81,3.283,2.120764587525151
82,3.283,2.120764587525151
83,3.283,2.120764587525151
84,3.283,2.120764587525151
85,3.283,2.120764587525151
86,3.283,2.120764587525151
87,3.283,2.120764587525151
88,3.283,2.120764587525151
89,3.283,2.120764587525151
90,3.283,2.120764587525151
91,3.283,2.120764587525151
92,3.283,2.120764587525151
93,3.283,2.120764587525151
94,3.283,2.120764587525151
95,3.283,2.120764587525151
96,3.283,2.120764587525151
97,3.283,2.120764587525151
98,3.283,2.120764587525151
99,3.283,2.120764587525151
100,3.283,2.120764587525151
101,3.283,2.120764587525151
102,3.283,2.120764587525151
103,3.283,2.120764587525151
104,3.283,2.120764587525151
105,3.283,2.120764587525151
106,3.283,2.120764587525151
107,3.283,2.120764587525151
108,3.283,2.120764587525151
109,3.283,2.120764587525151
110,3.283,2.120764587525151
111,3.283,2.120764587525151
112,3.283,2.120764587525151
113,3.283,2.120764587525151
114,3.283,2.120764587525151
115,3.283,2.120764587525151
116,3.283,2.120764587525151
117,3.283,2.120764587525151
118,3.283,2.120764587525151
119,3.283,2.120764587525151
120,3.283,2.120764587525151
121,3.283,2.120764587525151
122,3.283,2.120764587525151
123,3.283,2.120764587525151
124,3.283,2.120764587525151
125,3.283,2.120764587525151
126,3.283,2.120764587525151
127,3.283,2.120764587525151
128,3.283,2.120764587525151
129,3.283,2.120764587525151
130,3.283,2.120764587525151
131,3.283,2.120764587525151
132,3.283,2.120764587525151
133,3.283,2.120764587525151
134,3.283,2.120764587525151
135,3.283,2.120764587525151
136,3.283,2.120764587525151
137,3.283,2.120764587525151
138,3.283,2.120764587525151
139,3.283,2.120764587525151
140,3.283,2.120764587525151
141,3.283,2.120764587525151
142,3.283,2.120764587525151
143,3.283,2.120764587525151
144,3.283,2.120764587525151
145,3.283,2.120764587525151
146,3.283,2.120764587525151
147,3.283,2.120764587525151
148,3.283,2.120764587525151
149,3.283,2.120764587525151
150,3.283,2.120764587525151
151,3.283,2.120764587525151
152,3.283,2.120764587525151
153,3.283,2.120764587525151
154,3.283,2.120764587525151
155,3.283,2.120764587525151
156,3.283,2.120764587525151
157,3.283,2.120764587525151
158,3.283,2.120764587525151
159,3.283,2.120764587525151
160,3.283,2.120764587525151
161,3.283,2.120764587525151
162,3.283,2.120764587525151
163,3.283,2.120764587525151
164,3.283,2.120764587525151
165,3.283,2.120764587525151
166,3.283,2.120764587525151
167,3.283,2.120764587525151
168,3.283,2.120764587525151
169,3.262,2.120764587525151
170,3.148,2.120764587525151
171,3.148,2.120764587525151
172,3.148,2.120764587525151
173,3.148,2.120764587525151
174,3.148,2.120764587525151
175,3.148,2.120764587525151
176,3.148,2.120764587525151
177,3.148,2.120764587525151
178,3.148,2.120764587525151
179,3.148,2.120764587525151
180,3.148,2.120764587525151
181,3.148,2.120764587525151
182,3.148,2.120764587525151
183,3.148,2.120764587525151
184,3.148,2.120764587525151
185,3.148,2.120764587525151
186,3.148,2.120764587525151
187,3.148,2.120764587525151
188,3.148,2.120764587525151
189,3.148,2.120764587525151
190,3.148,2.120764587525151
191,3.148,2.120764587525151
192,3.148,2.120764587525151
193,3.148,2.120764587525151
194,3.148,2.120764587525151
195,3.148,2.120764587525151
196,3.148,2.120764587525151
197,3.148,2.120764587525151
198,3.148,2.120764587525151
199,3.148,2.120764587525151
200,3.148,2.120764587525151
201,3.148,2.120764587525151
202,3.148,2.120764587525151
203,3.0130000000000003,2.120764587525151
204,3.0130000000000003,2.120764587525151
205,3.0130000000000003,2.120764587525151
206,3.0130000000000003,2.120764587525151
207,3.0130000000000003,2.120764587525151
208,3.0130000000000003,2.120764587525151
209,3.0130000000000003,2.120764587525151
210,3.0130000000000003,2.120764587525151
211,3.0130000000000003,2.120764587525151
212,3.0130000000000003,2.120764587525151
213,3.0130000000000003,2.120764587525151
214,3.0130000000000003,2.120764587525151
215,3.0130000000000003,2.120764587525151
216,3.0130000000000003,2.120764587525151
217,3.0130000000000003,2.120764587525151
218,3.0130000000000003,2.120764587525151
219,3.0130000000000003,2.120764587525151
220,3.0130000000000003,2.120764587525151
221,3.0130000000000003,2.120764587525151
222,3.0130000000000003,2.120764587525151
223,3.0130000000000003,2.120764587525151
224,3.0130000000000003,2.120764587525151
225,3.0130000000000003,2.120764587525151
226,3.0130000000000003,2.120764587525151
227,3.0130000000000003,2.120764587525151
228,3.0130000000000003,2.120764587525151
229,3.0130000000000003,2.120764587525151
230,3.0130000000000003,2.120764587525151
231,3.0130000000000003,2.120764587525151
232,3.0130000000000003,2.120764587525151
233,3.0130000000000003,2.120764587525151
234,3.0130000000000003,2.120764587525151
235,3.0130000000000003,2.120764587525151
236,3.0130000000000003,2.120764587525151
237,3.0130000000000003,2.120764587525151
238,3.0130000000000003,2.120764587525151
239,3.0130000000000003,2.120764587525151
240,3.0130000000000003,2.120764587525151
241,3.0130000000000003,2.120764587525151
242,3.0130000000000003,2.120764587525151
243,3.0130000000000003,2.120764587525151
244,3.0130000000000003,2.120764587525151
245,3.0130000000000003,2.120764587525151
246,3.0130000000000003,2.120764587525151
247,3.0130000000000003,2.120764587525151
248,3.0130000000000003,2.120764587525151
249,3.0130000000000003,2.120764587525151
