Tick,TotalEnergy(kWh),AverageEnergy(kWh)
0,2.6220000000000003,1.8394513422818795
1,3.3040000000000003,1.8394513422818795
2,3.325,1.8394513422818795
3,3.325,1.8394513422818795
4,3.325,1.8394513422818795
5,3.325,1.8394513422818795
6,3.325,1.8394513422818795
7,3.325,1.8394513422818795
8,3.325,1.8394513422818795
9,3.325,1.8394513422818795
10,3.325,1.8394513422818795
11,3.325,1.8394513422818795
12,3.325,1.8394513422818795
13,3.325,1.8394513422818795
14,3.325,1.8394513422818795
15,3.325,1.8394513422818795
16,3.325,1.8394513422818795
17,3.325,1.8394513422818795
18,3.325,1.8394513422818795
19,3.325,1.8394513422818795
20,3.325,1.8394513422818795
21,3.325,1.8394513422818795
22,3.325,1.8394513422818795
23,3.325,1.8394513422818795
24,3.325,1.8394513422818795
25,3.325,1.8394513422818795
26,3.325,1.8394513422818795
27,3.325,1.8394513422818795
28,3.325,1.8394513422818795
29,3.325,1.8394513422818795
30,3.325,1.8394513422818795
31,3.325,1.8394513422818795
32,3.325,1.8394513422818795
33,3.325,1.8394513422818795
34,3.325,1.8394513422818795
35,3.325,1.8394513422818795
36,3.325,1.8394513422818795
37,3.325,1.8394513422818795
38,3.325,1.8394513422818795
39,3.325,1.8394513422818795
40,3.325,1.8394513422818795
41,3.325,1.8394513422818795
42,3.325,1.8394513422818795
43,3.325,1.8394513422818795
44,3.325,1.8394513422818795
45,3.325,1.8394513422818795
46,3.325,1.8394513422818795
47,3.325,1.8394513422818795
48,3.325,1.8394513422818795
49,3.325,1.8394513422818795
50,3.325,1.8394513422818795
51,3.325,1.8394513422818795
52,3.325,1.8394513422818795
53,3.325,1.8394513422818795
54,3.325,1.8394513422818795
55,3.325,1.8394513422818795
56,3.325,1.8394513422818795
57,3.325,1.8394513422818795
58,3.325,1.8394513422818795
59,3.325,1.8394513422818795
60,3.325,1.8394513422818795
61,3.325,1.8394513422818795
62,3.325,1.8394513422818795
63,3.325,1.8394513422818795
64,3.325,1.8394513422818795
65,3.325,1.8394513422818795
66,3.325,1.8394513422818795
67,3.325,1.8394513422818795
68,3.325,1.8394513422818795
69,3.325,1.8394513422818795
70,3.325,1.8394513422818795
71,3.325,1.8394513422818795
72,3.325,1.8394513422818795
73,3.325,1.8394513422818795
74,3.325,1.8394513422818795
75,3.325,1.8394513422818795
76,3.325,1.8394513422818795
77,3.325,1.8394513422818795
78,3.325,1.8394513422818795
79,3.325,1.8394513422818795
80,3.325,1.8394513422818795
81,3.325,1.8394513422818795
82,3.325,1.8394513422818795
83,3.325,1.8394513422818795
84,3.325,1.8394513422818795
85,3.325,1.8394513422818795
86,3.325,1.8394513422818795
87,3.325,1.8394513422818795
88,3.325,1.8394513422818795
89,3.325,1.8394513422818795
90,3.325,1.8394513422818795
91,3.325,1.8394513422818795
92,3.325,1.8394513422818795
93,3.325,1.8394513422818795
94,3.325,1.8394513422818795
95,3.325,1.8394513422818795
96,3.325,1.8394513422818795
97,3.325,1.8394513422818795
98,3.325,1.8394513422818795
99,3.325,1.8394513422818795
100,3.325,1.8394513422818795
101,3.325,1.8394513422818795
102,3.325,1.8394513422818795
103,3.325,1.8394513422818795
104,3.325,1.8394513422818795
105,3.325,1.8394513422818795
106,3.325,1.8394513422818795
107,3.325,1.8394513422818795
108,3.325,1.8394513422818795
109,3.325,1.8394513422818795
110,3.325,1.8394513422818795
111,3.325,1.8394513422818795
112,3.325,1.8394513422818795
113,3.325,1.8394513422818795
114,3.325,1.8394513422818795
115,3.325,1.8394513422818795
116,3.325,1.8394513422818795
117,3.325,1.8394513422818795
118,3.325,1.8394513422818795
119,3.325,1.8394513422818795
120,3.325,1.8394513422818795
121,3.325,1.8394513422818795
122,3.325,1.8394513422818795
123,3.325,1.8394513422818795
124,3.325,1.8394513422818795
125,3.325,1.8394513422818795
126,3.325,1.8394513422818795
127,3.325,1.8394513422818795
128,3.325,1.8394513422818795
129,3.325,1.8394513422818795
130,3.325,1.8394513422818795
131,3.325,1.8394513422818795
