Tick,TotalEnergy(kWh),AverageEnergy(kWh)
0,2.6220000000000003,1.8131392617449666
1,3.270000000000001,1.8131392617449666
2,3.270000000000001,1.8131392617449666
3,3.270000000000001,1.8131392617449666
4,3.270000000000001,1.8131392617449666
5,3.270000000000001,1.8131392617449666
6,3.270000000000001,1.8131392617449666
7,3.270000000000001,1.8131392617449666
8,3.270000000000001,1.8131392617449666
9,3.270000000000001,1.8131392617449666
10,3.270000000000001,1.8131392617449666
11,3.270000000000001,1.8131392617449666
12,3.270000000000001,1.8131392617449666
13,3.270000000000001,1.8131392617449666
14,3.270000000000001,1.8131392617449666
15,3.270000000000001,1.8131392617449666
16,3.270000000000001,1.8131392617449666
17,3.270000000000001,1.8131392617449666
18,3.270000000000001,1.8131392617449666
19,3.270000000000001,1.8131392617449666
20,3.270000000000001,1.8131392617449666
21,3.270000000000001,1.8131392617449666
22,3.270000000000001,1.8131392617449666
23,3.270000000000001,1.8131392617449666
24,3.270000000000001,1.8131392617449666
25,3.270000000000001,1.8131392617449666
26,3.270000000000001,1.8131392617449666
27,3.270000000000001,1.8131392617449666
28,3.270000000000001,1.8131392617449666
29,3.270000000000001,1.8131392617449666
30,3.270000000000001,1.8131392617449666
31,3.270000000000001,1.8131392617449666
32,3.270000000000001,1.8131392617449666
33,3.270000000000001,1.8131392617449666
34,3.270000000000001,1.8131392617449666
35,3.270000000000001,1.8131392617449666
36,3.270000000000001,1.8131392617449666
37,3.270000000000001,1.8131392617449666
38,3.270000000000001,1.8131392617449666
39,3.270000000000001,1.8131392617449666
40,3.270000000000001,1.8131392617449666
41,3.270000000000001,1.8131392617449666
42,3.270000000000001,1.8131392617449666
43,3.270000000000001,1.8131392617449666
44,3.270000000000001,1.8131392617449666
45,3.270000000000001,1.8131392617449666
46,3.270000000000001,1.8131392617449666
47,3.270000000000001,1.8131392617449666
48,3.270000000000001,1.8131392617449666
49,3.270000000000001,1.8131392617449666
50,3.270000000000001,1.8131392617449666
