Tick,TotalEnergy(kWh),AverageEnergy(kWh)
0,2.6220000000000003,1.8210352348993284
1,3.276,1.8210352348993284
2,3.276,1.8210352348993284
3,3.276,1.8210352348993284
4,3.276,1.8210352348993284
5,3.276,1.8210352348993284
6,3.276,1.8210352348993284
7,3.276,1.8210352348993284
8,3.276,1.8210352348993284
9,3.276,1.8210352348993284
10,3.276,1.8210352348993284
11,3.276,1.8210352348993284
12,3.276,1.8210352348993284
13,3.276,1.8210352348993284
14,3.276,1.8210352348993284
15,3.276,1.8210352348993284
16,3.276,1.8210352348993284
17,3.276,1.8210352348993284
18,3.276,1.8210352348993284
19,3.276,1.8210352348993284
20,3.276,1.8210352348993284
21,3.276,1.8210352348993284
22,3.276,1.8210352348993284
23,3.276,1.8210352348993284
24,3.276,1.8210352348993284
25,3.276,1.8210352348993284
26,3.276,1.8210352348993284
27,3.276,1.8210352348993284
28,3.276,1.8210352348993284
29,3.276,1.8210352348993284
30,3.276,1.8210352348993284
31,3.276,1.8210352348993284
32,3.276,1.8210352348993284
33,3.276,1.8210352348993284
34,3.276,1.8210352348993284
35,3.276,1.8210352348993284
36,3.276,1.8210352348993284
37,3.276,1.8210352348993284
38,3.276,1.8210352348993284
39,3.276,1.8210352348993284
40,3.276,1.8210352348993284
41,3.276,1.8210352348993284
42,3.276,1.8210352348993284
43,3.276,1.8210352348993284
44,3.276,1.8210352348993284
45,3.276,1.8210352348993284
46,3.276,1.8210352348993284
47,3.276,1.8210352348993284
48,3.276,1.8210352348993284
49,3.276,1.8210352348993284
50,3.276,1.8210352348993284
51,3.276,1.8210352348993284
52,3.276,1.8210352348993284
53,3.276,1.8210352348993284
54,3.276,1.8210352348993284
55,3.276,1.8210352348993284
56,3.276,1.8210352348993284
57,3.276,1.8210352348993284
58,3.276,1.8210352348993284
59,3.276,1.8210352348993284
60,3.276,1.8210352348993284
61,3.276,1.8210352348993284
62,3.276,1.8210352348993284
63,3.276,1.8210352348993284
64,3.276,1.8210352348993284
65,3.276,1.8210352348993284
66,3.276,1.8210352348993284
67,3.276,1.8210352348993284
68,3.276,1.8210352348993284
69,3.276,1.8210352348993284
70,3.276,1.8210352348993284
71,3.276,1.8210352348993284
72,3.276,1.8210352348993284
73,3.276,1.8210352348993284
74,3.276,1.8210352348993284
75,3.276,1.8210352348993284
76,3.276,1.8210352348993284
77,3.276,1.8210352348993284
78,3.276,1.8210352348993284
79,3.276,1.8210352348993284
80,3.276,1.8210352348993284
81,3.276,1.8210352348993284
82,3.276,1.8210352348993284
83,3.276,1.8210352348993284
84,3.276,1.8210352348993284
85,3.276,1.8210352348993284
86,3.276,1.8210352348993284
87,3.276,1.8210352348993284
88,3.276,1.8210352348993284
89,3.276,1.8210352348993284
90,3.276,1.8210352348993284
91,3.276,1.8210352348993284
92,3.276,1.8210352348993284
93,3.276,1.8210352348993284
94,3.276,1.8210352348993284
95,3.276,1.8210352348993284
96,3.276,1.8210352348993284
97,3.276,1.8210352348993284
98,3.276,1.8210352348993284
99,3.276,1.8210352348993284
100,3.276,1.8210352348993284
101,3.276,1.8210352348993284
102,3.276,1.8210352348993284
