Tick,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9,Node10,Node11,Node12,Node13
46,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
47,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
48,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
49,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
50,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
51,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
52,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
53,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
54,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
55,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
56,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
57,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
58,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
59,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
60,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
61,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
62,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
63,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
64,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
65,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
66,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
67,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
68,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
69,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
70,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
71,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
72,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
73,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
74,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
75,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
76,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
77,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
78,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
79,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
80,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
81,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
82,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
83,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
84,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
85,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
86,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
87,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
88,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
89,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
90,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
91,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
92,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
93,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
94,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
95,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
96,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
97,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
98,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
99,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
100,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
101,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
102,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
103,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
104,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
105,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
106,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
107,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
108,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
109,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
110,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
111,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
112,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
113,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
114,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
115,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
116,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
117,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
118,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
119,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
120,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
121,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
122,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
123,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
124,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
125,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
126,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
127,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
128,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
129,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
130,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
131,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
132,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
133,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
134,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
135,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
136,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
137,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
138,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
139,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
140,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000
141,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000
142,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000
143,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000
144,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000
145,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000
146,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
147,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
148,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
149,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
150,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
151,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
152,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
153,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
154,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
155,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
156,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
157,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
158,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
159,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
160,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
161,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
162,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
163,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
164,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
165,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
166,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
167,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
168,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
169,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
170,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
171,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
172,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
173,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
174,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
175,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
176,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
177,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
178,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
179,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
180,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
181,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
182,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
183,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
