Month,Avg_kWh
jan,54.0168907826087
feb,49.08063026086956
mar,54.36615026086957
apr,52.16866434782608
may,53.887499478260864
jun,52.53245217391304
jul,54.212918608695645
aug,54.170025391304335
sep,52.90606956521738
oct,54.45112799999998
nov,52.925760000000004
dec,54.62587095652174
