Month,Avg_kW
jan,0.07260334782608696
feb,0.07303665217391306
mar,0.07307278260869565
apr,0.07245647826086957
may,0.0724294347826087
jun,0.07296173913043477
jul,0.07286682608695653
aug,0.07280917391304349
sep,0.07348065217391304
oct,0.073187
nov,0.073508
dec,0.07342186956521739
