time,success_cloudlets,pending_cloudlets,power_kW,c_power
170,1576,63,0.1140,19.3800
171,1576,63,0.1140,19.4940
172,1639,63,0.1140,19.6080
173,1639,63,0.1140,19.7220
174,1639,63,0.1140,19.8360
175,1639,63,0.1140,19.9500
176,1639,63,0.1140,20.0640
177,1639,63,0.1140,20.1780
178,1639,63,0.1140,20.2920
179,1702,63,0.1140,20.4060
180,1702,63,0.1140,20.5200
181,1702,63,0.1140,20.6340
182,1702,63,0.1140,20.7480
183,1702,63,0.1140,20.8620
184,1702,63,0.1140,20.9760
185,1702,63,0.1140,21.0900
186,1765,63,0.1140,21.2040
187,1765,63,0.1140,21.3180
188,1765,63,0.1140,21.4320
189,1765,63,0.1140,21.5460
190,1765,63,0.1140,21.6600
191,1765,63,0.1140,21.7740
192,1765,63,0.1140,21.8880
193,1828,63,0.1140,22.0020
194,1828,63,0.1140,22.1160
195,1828,63,0.1140,22.2300
196,1828,63,0.1140,22.3440
197,1828,63,0.1140,22.4580
198,1828,63,0.1140,22.5720
199,1891,63,0.1140,22.6860
200,1891,63,0.1140,22.8000
201,1891,63,0.1140,22.9140
202,1891,63,0.1140,23.0280
203,1891,63,0.1140,23.1420
204,1891,63,0.1140,23.2560
205,1891,63,0.1140,23.3700
206,1954,63,0.1140,23.4840
207,1954,63,0.1140,23.5980
208,1954,63,0.1140,23.7120
209,1954,63,0.1140,23.8260
210,1954,63,0.1140,23.9400
211,1954,63,0.1140,24.0540
212,1954,63,0.1140,24.1680
213,2017,63,0.1140,24.2820
214,2017,63,0.1140,24.3960
215,2017,63,0.1140,24.5100
216,2017,63,0.1140,24.6240
217,2017,63,0.1140,24.7380
218,2017,63,0.1140,24.8520
219,2080,63,0.1140,24.9660
220,2080,63,0.1140,25.0800
221,2080,63,0.1140,25.1940
222,2080,63,0.1140,25.3080
223,2080,63,0.1140,25.4220
224,2080,63,0.1140,25.5360
225,2080,63,0.1140,25.6500
226,2143,63,0.1140,25.7640
227,2143,63,0.1140,25.8780
228,2143,63,0.1140,25.9920
229,2143,63,0.1140,26.1060
230,2143,63,0.1140,26.2200
231,2143,63,0.1140,26.3340
232,2143,63,0.1140,26.4480
233,2206,63,0.1140,26.5620
234,2206,63,0.1140,26.6760
235,2206,63,0.1140,26.7900
236,2206,63,0.1140,26.9040
237,2206,63,0.1140,27.0180
238,2206,63,0.1140,27.1320
239,2269,63,0.1140,27.2460
240,2269,63,0.1140,27.3600
241,2269,63,0.1140,27.4740
242,2269,63,0.1140,27.5880
243,2269,63,0.1140,27.7020
244,2269,63,0.1140,27.8160
245,2332,63,0.1140,27.9300
246,2332,63,0.1140,28.0440
247,2332,63,0.1140,28.1580
248,2332,63,0.1140,28.2720
249,2332,63,0.1140,28.3860
250,2332,63,0.1140,28.5000
251,2332,63,0.1140,28.6140
252,2395,63,0.1140,28.7280
253,2395,63,0.1140,28.8420
254,2395,63,0.1140,28.9560
255,2395,63,0.1140,29.0700
256,2395,63,0.1140,29.1840
257,2395,63,0.1140,29.2980
258,2458,63,0.1140,29.4120
259,2458,63,0.1140,29.5260
260,2458,63,0.1140,29.6400
261,2458,63,0.1140,29.7540
262,2458,63,0.1140,29.8680
263,2458,63,0.1140,29.9820
264,2458,63,0.1140,30.0960
265,2521,63,0.1140,30.2100
266,2521,63,0.1140,30.3240
267,2521,63,0.1140,30.4380
268,2521,63,0.1140,30.5520
269,2521,63,0.1140,30.6660
270,2521,63,0.1140,30.7800
271,2584,63,0.1140,30.8940
272,2584,63,0.1140,31.0080
273,2584,63,0.1140,31.1220
274,2584,63,0.1140,31.2360
275,2584,63,0.1140,31.3500
276,2584,63,0.1140,31.4640
277,2584,63,0.1140,31.5780
278,2647,63,0.1140,31.6920
279,2647,63,0.1140,31.8060
280,2647,63,0.1140,31.9200
281,2647,63,0.1140,32.0340
282,2647,63,0.1140,32.1480
283,2647,63,0.1140,32.2620
284,2710,63,0.1140,32.3760
285,2710,63,0.1140,32.4900
286,2710,63,0.1140,32.6040
287,2710,63,0.1140,32.7180
288,2710,63,0.1140,32.8320
289,2710,63,0.1140,32.9460
290,2773,63,0.1140,33.0600
291,2773,63,0.1140,33.1740
292,2773,63,0.1140,33.2880
293,2773,63,0.1140,33.4020
294,2773,63,0.1140,33.5160
295,2773,63,0.1140,33.6300
296,2773,63,0.1140,33.7440
297,2836,63,0.1140,33.8580
298,2836,63,0.1140,33.9720
299,2836,63,0.1140,34.0860
300,2836,63,0.1140,34.2000
301,2836,63,0.1140,34.3140
302,2836,63,0.1140,34.4280
303,2899,63,0.1140,34.5420
304,2899,63,0.1140,34.6560
305,2899,63,0.1140,34.7700
306,2899,63,0.1140,34.8840
307,2899,63,0.1140,34.9980
308,2899,63,0.1140,35.1120
309,2899,63,0.1140,35.2260
310,2962,63,0.1140,35.3400
311,2962,63,0.1140,35.4540
312,2962,63,0.1140,35.5680
313,2962,63,0.1140,35.6820
314,2962,63,0.1140,35.7960
315,2962,63,0.1140,35.9100
316,3025,63,0.1140,36.0240
317,3025,63,0.1140,36.1380
318,3025,63,0.1140,36.2520
319,3025,63,0.1140,36.3660
320,3025,63,0.1140,36.4800
321,3025,63,0.1140,36.5940
322,3025,63,0.1140,36.7080
323,3088,63,0.1140,36.8220
324,3088,63,0.1140,36.9360
325,3088,63,0.1140,37.0500
326,3088,63,0.1140,37.1640
327,3088,63,0.1140,37.2780
328,3088,63,0.1140,37.3920
329,3151,63,0.1140,37.5060
330,3151,63,0.1140,37.6200
331,3151,63,0.1140,37.7340
332,3151,63,0.1140,37.8480
333,3151,63,0.1140,37.9620
334,3151,63,0.1140,38.0760
335,3214,63,0.1140,38.1900
336,3214,63,0.1140,38.3040
337,3214,63,0.1140,38.4180
338,3214,63,0.1140,38.5320
339,3214,63,0.1140,38.6460
340,3214,63,0.1140,38.7600
341,3214,63,0.1140,38.8740
342,3277,63,0.1140,38.9880
343,3277,63,0.1140,39.1020
344,3277,63,0.1140,39.2160
345,3277,63,0.1140,39.3300
346,3277,63,0.1140,39.4440
347,3277,63,0.1140,39.5580
348,3340,63,0.1140,39.6720
349,3340,63,0.1140,39.7860
350,3340,63,0.1140,39.9000
351,3340,63,0.1140,40.0140
352,3340,63,0.1140,40.1280
353,3340,63,0.1140,40.2420
354,3340,63,0.1140,40.3560
355,3403,63,0.1140,40.4700
356,3403,63,0.1140,40.5840
357,3403,63,0.1140,40.6980
358,3403,63,0.1140,40.8120
359,3403,63,0.1140,40.9260
360,3403,63,0.1140,41.0400
361,3466,63,0.1140,41.1540
362,3466,63,0.1140,41.2680
363,3466,63,0.1140,41.3820
364,3466,63,0.1140,41.4960
365,3466,63,0.1140,41.6100
366,3466,63,0.1140,41.7240
367,3466,63,0.1140,41.8380
368,3529,63,0.1140,41.9520
369,3529,63,0.1140,42.0660
370,3529,63,0.1140,42.1800
371,3529,63,0.1140,42.2940
372,3529,63,0.1140,42.4080
373,3529,63,0.1140,42.5220
374,3592,63,0.1140,42.6360
375,3592,63,0.1140,42.7500
376,3592,63,0.1140,42.8640
377,3592,63,0.1140,42.9780
378,3592,63,0.1140,43.0920
379,3592,63,0.1140,43.2060
380,3655,63,0.1140,43.3200
381,3655,63,0.1140,43.4340
382,3655,63,0.1140,43.5480
383,3655,63,0.1140,43.6620
384,3655,63,0.1140,43.7760
385,3655,63,0.1140,43.8900
386,3655,63,0.1140,44.0040
387,3718,63,0.1140,44.1180
388,3718,63,0.1140,44.2320
389,3718,63,0.1140,44.3460
390,3718,63,0.1140,44.4600
391,3718,63,0.1140,44.5740
392,3718,63,0.1140,44.6880
393,3781,63,0.1140,44.8020
394,3781,63,0.1140,44.9160
395,3781,63,0.1140,45.0300
396,3781,63,0.1140,45.1440
397,3781,63,0.1140,45.2580
398,3781,63,0.1140,45.3720
399,3781,63,0.1140,45.4860
400,3844,63,0.1140,45.6000
401,3844,63,0.1140,45.7140
402,3844,63,0.1140,45.8280
403,3844,63,0.1140,45.9420
404,3844,63,0.1140,46.0560
405,3844,63,0.1140,46.1700
406,3907,63,0.1140,46.2840
407,3907,63,0.1140,46.3980
408,3907,63,0.1140,46.5120
409,3907,63,0.1140,46.6260
410,3907,63,0.1140,46.7400
411,3907,63,0.1140,46.8540
412,3907,63,0.1140,46.9680
413,3970,63,0.1140,47.0820
414,3970,63,0.1140,47.1960
415,3970,63,0.1140,47.3100
416,3970,63,0.1140,47.4240
417,3970,63,0.1140,47.5380
418,3970,63,0.1140,47.6520
419,3970,63,0.1140,47.7660
420,4033,63,0.1140,47.8800
421,4033,63,0.1140,47.9940
422,4033,63,0.1140,48.1080
423,4033,63,0.1140,48.2220
424,4033,63,0.1140,48.3360
425,4033,63,0.1140,48.4500
426,4096,63,0.1140,48.5640
427,4096,63,0.1140,48.6780
428,4096,63,0.1140,48.7920
429,4096,63,0.1140,48.9060
430,4096,63,0.1140,49.0200
431,4096,63,0.1140,49.1340
432,4159,63,0.1140,49.2480
433,4159,63,0.1140,49.3620
434,4159,63,0.1140,49.4760
435,4159,63,0.1140,49.5900
436,4159,63,0.1140,49.7040
437,4159,63,0.1140,49.8180
438,4159,63,0.1140,49.9320
439,4222,63,0.1140,50.0460
440,4222,63,0.1140,50.1600
441,4222,63,0.1140,50.2740
442,4222,63,0.1140,50.3880
443,4222,63,0.1140,50.5020
444,4222,63,0.1140,50.6160
445,4222,63,0.1140,50.7300
446,4285,63,0.1140,50.8440
447,4285,63,0.1140,50.9580
448,4285,63,0.1140,51.0720
449,4285,63,0.1140,51.1860
450,4285,63,0.1140,51.3000
451,4285,63,0.1140,51.4140
452,4285,63,0.1140,51.5280
453,4348,63,0.1140,51.6420
454,4348,63,0.1140,51.7560
455,4348,63,0.1140,51.8700
456,4348,63,0.1140,51.9840
457,4348,63,0.1140,52.0980
458,4348,63,0.1140,52.2120
459,4348,63,0.1140,52.3260
460,4411,63,0.1140,52.4400
461,4411,63,0.1140,52.5540
462,4411,63,0.1140,52.6680
463,4411,63,0.1140,52.7820
464,4411,63,0.1140,52.8960
465,4411,63,0.1140,53.0100
466,4474,63,0.1140,53.1240
467,4474,63,0.1140,53.2380
468,4474,63,0.1140,53.3520
469,4474,63,0.1140,53.4660
470,4474,63,0.1140,53.5800
471,4474,63,0.1140,53.6940
472,4537,63,0.1140,53.8080
473,4537,63,0.1140,53.9220
474,4537,63,0.1140,54.0360
475,4537,63,0.1140,54.1500
476,4537,63,0.1140,54.2640
477,4537,63,0.1140,54.3780
478,4537,63,0.1140,54.4920
479,4600,63,0.1140,54.6060
480,4600,63,0.1140,54.7200
481,4600,63,0.1140,54.8340
482,4600,63,0.1140,54.9480
483,4600,63,0.1140,55.0620
484,4600,63,0.1140,55.1760
485,4600,63,0.1140,55.2900
486,4663,63,0.1140,55.4040
487,4663,63,0.1140,55.5180
488,4663,63,0.1140,55.6320
489,4663,63,0.1140,55.7460
490,4663,63,0.1140,55.8600
491,4663,63,0.1140,55.9740
492,4663,63,0.1140,56.0880
493,4726,63,0.1140,56.2020
494,4726,63,0.1140,56.3160
495,4726,63,0.1140,56.4300
496,4726,63,0.1140,56.5440
497,4726,63,0.1140,56.6580
498,4726,63,0.1140,56.7720
499,4726,63,0.1140,56.8860
500,4789,63,0.1140,57.0000
501,4789,63,0.1140,57.1140
502,4789,63,0.1140,57.2280
503,4789,63,0.1140,57.3420
504,4789,63,0.1140,57.4560
505,4789,63,0.1140,57.5700
506,4852,63,0.1140,57.6840
507,4852,63,0.1140,57.7980
508,4852,63,0.1140,57.9120
509,4852,63,0.1140,58.0260
510,4852,63,0.1140,58.1400
511,4852,63,0.1140,58.2540
512,4915,63,0.1140,58.3680
513,4915,63,0.1140,58.4820
514,4915,63,0.1140,58.5960
515,4915,63,0.1140,58.7100
516,4915,63,0.1140,58.8240
517,4915,63,0.1140,58.9380
518,4915,63,0.1140,59.0520
519,4978,63,0.1140,59.1660
520,4978,63,0.1140,59.2800
521,4978,63,0.1140,59.3940
522,4978,63,0.1140,59.5080
523,4978,63,0.1140,59.6220
524,4978,63,0.1140,59.7360
525,4978,63,0.1140,59.8500
526,5041,63,0.1140,59.9640
527,5041,63,0.1140,60.0780
528,5041,63,0.1140,60.1920
529,5041,63,0.1140,60.3060
530,5041,63,0.1140,60.4200
531,5041,63,0.1140,60.5340
532,5041,63,0.1140,60.6480
533,5104,63,0.1140,60.7620
534,5104,63,0.1140,60.8760
535,5104,63,0.1140,60.9900
536,5104,63,0.1140,61.1040
537,5104,63,0.1140,61.2180
538,5104,63,0.1140,61.3320
539,5104,63,0.1140,61.4460
540,5167,63,0.1140,61.5600
541,5167,63,0.1140,61.6740
542,5167,63,0.1140,61.7880
543,5167,63,0.1140,61.9020
544,5167,63,0.1140,62.0160
545,5167,63,0.1140,62.1300
546,5230,63,0.1140,62.2440
547,5230,63,0.1140,62.3580
548,5230,63,0.1140,62.4720
549,5230,63,0.1140,62.5860
550,5230,63,0.1140,62.7000
551,5230,63,0.1140,62.8140
552,5293,63,0.1140,62.9280
553,5293,63,0.1140,63.0420
554,5293,63,0.1140,63.1560
555,5293,63,0.1140,63.2700
556,5293,63,0.1140,63.3840
557,5293,63,0.1140,63.4980
558,5293,63,0.1140,63.6120
559,5356,63,0.1140,63.7260
560,5356,63,0.1140,63.8400
561,5356,63,0.1140,63.9540
562,5356,63,0.1140,64.0680
563,5356,63,0.1140,64.1820
564,5356,63,0.1140,64.2960
565,5356,63,0.1140,64.4100
566,5419,63,0.1140,64.5240
567,5419,63,0.1140,64.6380
568,5419,63,0.1140,64.7520
569,5419,63,0.1140,64.8660
570,5419,63,0.1140,64.9800
571,5419,63,0.1140,65.0940
572,5419,63,0.1140,65.2080
573,5482,63,0.1140,65.3220
574,5482,63,0.1140,65.4360
575,5482,63,0.1140,65.5500
576,5482,63,0.1140,65.6640
577,5482,63,0.1140,65.7780
578,5482,63,0.1140,65.8920
579,5482,63,0.1140,66.0060
580,5545,63,0.1140,66.1200
581,5545,63,0.1140,66.2340
582,5545,63,0.1140,66.3480
583,5545,63,0.1140,66.4620
584,5545,63,0.1140,66.5760
585,5545,63,0.1140,66.6900
586,5608,63,0.1140,66.8040
587,5608,63,0.1140,66.9180
588,5608,63,0.1140,67.0320
589,5608,63,0.1140,67.1460
590,5608,63,0.1140,67.2600
591,5608,63,0.1140,67.3740
592,5671,63,0.1140,67.4880
593,5671,63,0.1140,67.6020
