Month,Avg_kW
jan,72.60335765217391
feb,73.03665465217392
mar,73.0727174347826
apr,72.45647339130436
may,72.42942030434781
jun,72.96172704347826
jul,72.8667512173913
aug,72.80914247826085
sep,73.48068839130435
oct,73.18702895652176
nov,73.50812804347825
dec,73.42192034782607
