Month,Avg_kWh
jan,51.45675692307692
feb,47.41802584615384
mar,51.66954092307692
apr,50.02471384615386
may,51.725054769230766
jun,49.99209230769231
jul,51.52091261538462
aug,51.43953046153846
sep,50.021667692307695
oct,51.85027569230769
nov,50.53519384615384
dec,51.34664492307692
