Month,Avg_kW
jan,0.06916230769230769
feb,0.07056253846153845
mar,0.06944830769230768
apr,0.06947876923076923
may,0.06952292307692308
jun,0.06943346153846153
jul,0.06924853846153846
aug,0.06913915384615385
sep,0.06947453846153845
oct,0.06969123076923077
nov,0.07018776923076923
dec,0.06901430769230771
