Month,Avg_kW
jan,69.1622436923077
feb,70.56260692307691
mar,69.44831223076923
apr,69.47876076923076
may,69.5227993846154
jun,69.43350438461539
jul,69.24848307692308
aug,69.1391026923077
sep,69.47446592307693
oct,69.6911326153846
nov,70.18771376923077
dec,69.01438046153847
