time,success_cloudlets,pending_cloudlets,power_kW,c_power
1,0,29,0.4560,0.4560
2,0,29,0.4560,0.9120
3,0,29,0.4560,1.3680
4,1,28,0.4560,1.8240

summary
Total Energy Consumption (kWh),0.0005
Average Energy per Transaction (Wh/Tx),0.5067
